onset	duration	eventnumber
37905	0	1
38111	0	2
38312	0	3
38511	0	4
38710	0	5
38910	0	6
39109	0	7
39309	0	8
39509	0	9
39710	0	10
39910	0	11
40106	0	12
40309	0	13
40510	0	14
40709	0	15
40910	0	99
41109	0	16
41310	0	17
41510	0	18
41710	0	19
41909	0	20
43521	0	252
46955	0	1
47156	0	2
47359	0	3
47559	0	4
47759	0	5
47956	0	6
48159	0	7
48359	0	8
48559	0	9
48759	0	10
48960	0	11
49160	0	12
49360	0	13
49560	0	14
49760	0	15
49959	0	16
50159	0	17
50359	0	18
50559	0	19
50760	0	20
52987	0	254
56086	0	1
56292	0	2
56492	0	3
56693	0	4
56893	0	5
57092	0	6
57293	0	7
57493	0	8
57691	0	9
57893	0	10
58092	0	11
58291	0	12
58492	0	13
58691	0	14
58892	0	15
59092	0	16
59292	0	17
59492	0	18
59689	0	19
59893	0	20
62073	0	252
65188	0	1
65392	0	2
65592	0	3
65793	0	4
65993	0	5
66193	0	6
66393	0	7
66593	0	8
66793	0	9
66992	0	10
67191	0	11
67393	0	12
67593	0	13
67793	0	14
67993	0	15
68194	0	16
68393	0	17
68594	0	18
68793	0	19
68993	0	20
70773	0	252
74137	0	1
74339	0	2
74543	0	3
74742	0	4
74942	0	5
75143	0	6
75339	0	7
75542	0	8
75742	0	9
75938	0	10
76141	0	11
76341	0	12
76542	0	13
76743	0	14
76941	0	15
77143	0	16
77343	0	17
77542	0	18
77742	0	19
77942	0	20
79672	0	252
83137	0	1
83342	0	2
83542	0	3
83741	0	4
83942	0	5
84142	0	6
84342	0	7
84542	0	8
84742	0	9
84941	0	10
85143	0	11
85343	0	12
85542	0	13
85742	0	14
85942	0	15
86142	0	16
86342	0	17
86542	0	18
86743	0	19
86942	0	20
88856	0	252
92271	0	1
92476	0	2
92673	0	3
92876	0	4
93075	0	5
93276	0	6
93476	0	7
93677	0	8
93875	0	9
94075	0	10
94276	0	11
94476	0	12
94675	0	13
94875	0	14
95076	0	15
95276	0	16
95475	0	17
95676	0	18
95877	0	99
96075	0	19
96276	0	20
98237	0	252
101337	0	1
101542	0	2
101742	0	3
101942	0	4
102143	0	5
102342	0	6
102543	0	7
102744	0	8
102942	0	9
103143	0	10
103340	0	11
103542	0	12
103743	0	13
103942	0	14
104142	0	15
104342	0	16
104543	0	17
104743	0	18
104943	0	19
105141	0	20
107222	0	252
110354	0	1
110559	0	2
110759	0	3
110955	0	4
111160	0	5
111359	0	6
111560	0	7
111759	0	8
111954	0	9
112158	0	10
112359	0	11
112559	0	12
112758	0	13
112959	0	14
113158	0	15
113359	0	16
113559	0	17
113759	0	18
113958	0	19
114159	0	20
116022	0	252
119387	0	1
119592	0	2
119792	0	3
119992	0	4
120192	0	5
120392	0	6
120593	0	7
120792	0	8
120992	0	9
121192	0	10
121392	0	11
121592	0	12
121792	0	13
121992	0	14
122192	0	15
122391	0	16
122592	0	17
122792	0	18
122992	0	19
123192	0	20
124888	0	252
128520	0	1
128725	0	2
128926	0	3
129126	0	4
129325	0	5
129526	0	6
129725	0	7
129926	0	8
130125	0	9
130325	0	10
130525	0	11
130725	0	12
130922	0	13
131124	0	14
131324	0	15
131525	0	16
131725	0	17
131925	0	18
132126	0	19
132323	0	20
134456	0	252
137320	0	1
137526	0	2
137725	0	3
137924	0	4
138124	0	5
138325	0	6
138524	0	7
138725	0	8
138925	0	9
139125	0	10
139325	0	11
139526	0	12
139725	0	13
139924	0	14
140125	0	15
140325	0	16
140525	0	17
140725	0	18
140925	0	19
141125	0	20
143055	0	252
