onset	duration	eventnumber
10786	0	1
13052	0	252
14106	0	2
18971	0	252
19989	0	3
22098	0	252
23101	0	4
25518	0	252
26518	0	5
30163	0	252
31169	0	6
33504	0	252
34517	0	7
37567	0	252
38568	0	8
40719	0	252
41718	0	9
46403	0	252
47417	0	10
50866	0	252
51867	0	11
55052	0	252
56050	0	12
57667	0	252
58667	0	13
61388	0	252
62401	0	14
64753	0	252
65767	0	15
68647	0	252
69651	0	16
73070	0	252
74084	0	17
76150	0	252
77150	0	18
82634	0	252
83635	0	19
86152	0	252
87150	0	20
89112	0	252
103479	0	21
105717	0	252
106716	0	22
109135	0	252
110134	0	23
112113	0	252
113116	0	24
115965	0	252
116967	0	25
119403	0	252
120399	0	26
122565	0	252
123566	0	27
125703	0	252
126717	0	28
128663	0	252
129666	0	29
132932	0	252
133933	0	30
136997	0	252
137999	0	31
142435	0	252
143432	0	32
145733	0	252
146732	0	33
149934	0	252
150932	0	34
153417	0	252
154417	0	35
156552	0	252
157566	0	36
159545	0	252
160550	0	37
162498	0	252
163498	0	38
167320	0	252
168332	0	39
171097	0	252
172100	0	40
176502	0	252
183945	0	41
185797	0	252
186798	0	42
188663	0	252
189665	0	43
192019	0	252
193032	0	44
195702	0	252
196716	0	45
201601	0	252
202599	0	46
205101	0	252
206099	0	47
208214	0	252
209214	0	48
211595	0	252
212598	0	49
215498	0	252
216499	0	50
218766	0	252
219764	0	51
222001	0	252
223014	0	52
225296	0	252
226298	0	53
228278	0	252
229282	0	54
231977	0	252
232981	0	55
235331	0	252
236331	0	56
238881	0	252
239881	0	57
242048	0	252
243048	0	58
245712	0	252
246715	0	59
248832	0	252
249833	0	60
254451	0	252
280476	0	61
283368	0	252
284381	0	62
287029	0	252
288030	0	63
290183	0	252
291196	0	64
295218	0	252
296231	0	65
298477	0	252
299480	0	66
302031	0	252
303029	0	67
305263	0	252
306264	0	68
309811	0	252
310813	0	69
313143	0	252
314147	0	70
316549	0	252
317547	0	71
319844	0	252
320847	0	72
324115	0	252
325129	0	73
327799	0	252
328813	0	74
330577	0	252
331579	0	75
334116	0	252
335132	0	76
338644	0	252
339647	0	77
342276	0	252
343280	0	78
347445	0	252
348446	0	79
350576	0	252
351579	0	80
354032	0	252
361175	0	81
363192	0	252
364197	0	82
366133	0	252
367145	0	83
369561	0	252
370562	0	84
372679	0	252
373679	0	85
375943	0	252
376946	0	86
379350	0	252
380362	0	87
382514	0	252
383511	0	88
385816	0	252
386830	0	89
389043	0	252
390046	0	90
392295	0	252
393295	0	91
395298	0	252
396311	0	92
398343	0	252
399346	0	93
403215	0	252
404228	0	94
407328	0	252
408329	0	95
411047	0	252
412044	0	96
414193	0	252
415196	0	97
417376	0	252
418378	0	98
421624	0	252
422628	0	99
426394	0	252
427394	0	100
430947	0	252
